track_id,timestamp,lat,lon,cls,confidence,priority_hint,relevant_prob,relevant,engage
T0,2026-04-01T06:00:00Z,59.805915,24.779343,merchant_vessel,0.629,2,0.3336751271506245,0,0
T1,2026-04-01T06:00:00Z,59.864467,27.6303,unknown,0.41,2,5.1634520840423495e-11,0,0
T2,2026-04-01T06:00:00Z,59.8954,24.779431,uav,0.507,2,6.698429588673675e-06,0,0
T3,2026-04-01T06:00:00Z,59.875097,27.630281,small_boat,0.694,4,1.1745528977300596e-07,0,0
S363906031,2026-04-01T06:00:00Z,59.877551,27.009628,merchant_vessel,0.414,3,3.6309812388586914e-18,0,0
S466721003,2026-04-01T06:00:00Z,59.923446,26.734008,small_boat,0.613,2,0.7215027314159567,1,0
S795679975,2026-04-01T06:00:00Z,59.848609,25.830287,uav,0.538,1,0.9946170467396526,1,0
S189471358,2026-04-01T06:00:00Z,59.822078,25.415272,usv,0.541,2,0.0004149480787876674,0,0
S841691868,2026-04-01T06:00:00Z,59.933999,27.165388,unknown,0.391,2,5.145382722119107e-12,0,0
T0,2026-04-01T06:00:30Z,59.805919,24.779415,merchant_vessel,0.44,2,5.4591477010910934e-11,0,0
T1,2026-04-01T06:00:30Z,59.864468,27.630262,unknown,0.407,2,3.5876083386923144e-11,0,0
T2,2026-04-01T06:00:30Z,59.895401,24.779648,uav,0.517,2,2.254671118728314e-05,0,0
T3,2026-04-01T06:00:30Z,59.875099,27.630223,small_boat,0.559,4,8.990667622177566e-15,0,0
T0,2026-04-01T06:01:00Z,59.805924,24.779482,merchant_vessel,0.501,2,8.964767755387924e-08,0,0
T1,2026-04-01T06:01:00Z,59.864468,27.630221,unknown,0.415,2,9.473243383967526e-11,0,0
T2,2026-04-01T06:01:00Z,59.895404,24.779841,uav,0.595,2,0.2256935540715765,0,0
T3,2026-04-01T06:01:00Z,59.8751,27.630164,small_boat,0.522,4,1.0079957859846361e-16,0,0
T0,2026-04-01T06:01:30Z,59.805929,24.779557,merchant_vessel,0.479,2,6.206996285517594e-09,0,0
T1,2026-04-01T06:01:30Z,59.864468,27.630181,unknown,0.361,2,1.349169204336542e-13,0,0
T2,2026-04-01T06:01:30Z,59.895406,24.780053,uav,0.598,2,0.2955311202380788,0,0
T3,2026-04-01T06:01:30Z,59.8751,27.630103,small_boat,0.568,4,2.6803858816749713e-14,0,0
T0,2026-04-01T06:02:00Z,59.805935,24.779621,merchant_vessel,0.469,2,1.844014786959549e-09,0,0
T1,2026-04-01T06:02:00Z,59.864469,27.630146,unknown,0.287,2,1.6958989360129426e-17,0,0
T2,2026-04-01T06:02:00Z,59.895405,24.780248,uav,0.516,2,1.9969749270595206e-05,0,0
T3,2026-04-01T06:02:00Z,59.8751,27.630037,small_boat,0.558,4,7.96306450276771e-15,0,0
T0,2026-04-01T06:02:30Z,59.80594,24.779691,merchant_vessel,0.642,2,0.708114051513238,1,0
T1,2026-04-01T06:02:30Z,59.864469,27.630114,unknown,0.379,2,1.1991601233696246e-12,0,0
T2,2026-04-01T06:02:30Z,59.895413,24.780437,uav,0.55,2,0.0012360676350251637,0,0
T3,2026-04-01T06:02:30Z,59.875101,27.629979,small_boat,0.576,4,7.077681124692148e-14,0,0
T0,2026-04-01T06:03:00Z,59.805946,24.779781,merchant_vessel,0.493,2,3.3950439189123605e-08,0,0
T1,2026-04-01T06:03:00Z,59.86447,27.630074,unknown,0.469,2,6.651673783470233e-08,0,0
T2,2026-04-01T06:03:00Z,59.895416,24.780656,uav,0.662,2,0.9989924388114311,1,0
T3,2026-04-01T06:03:00Z,59.875102,27.629925,small_boat,0.501,4,7.879757123702266e-18,0,0
